doi,url,status,venue,year
10.3109/03602530903210682,,CLOSED,Drug metabolism reviews (Softcover ed.),2009
10.1016/j.meegid.2017.10.022,https://europepmc.org/articles/pmc7106247?pdf=render,GREEN,"Infection, Genetics and Evolution",2017
10.1016/j.leukres.2020.106409,,CLOSED,Leukemia research : a Forum for Studies on Leukemia and Normal Hemopoiesis,2020
10.2174/0929867325666180719145819,,CLOSED,Current Medicinal Chemistry,2020
10.1093/annonc/mdv022,https://europepmc.org/articles/pmc4478970?pdf=render,GREEN,Annals of Oncology,2015
10.1074/jbc.M113.497040,http://www.jbc.org/content/288/47/33530.full.pdf,HYBRID,Journal of Biological Chemistry,2013
10.2174/092986712801661022,,CLOSED,Current Medicinal Chemistry,2012
10.1158/2326-6066.CIR-17-0538,,CLOSED,Cancer immunology research,2018
10.1016/j.abb.2009.05.005,https://europepmc.org/articles/pmc3070237?pdf=render,GREEN,Archives of Biochemistry and Biophysics,2009
10.1097/FBP.0b013e3283566a60,,CLOSED,Behavioural Pharmacology,2012
10.1016/j.heares.2012.02.009,,CLOSED,Hearing Research,2012
10.1103/PHYSREVE.81.046312,https://hal.archives-ouvertes.fr/hal-00536424/file/gurbatov2010.pdf,GREEN,"Physical review. E, Statistical, nonlinear, and soft matter physics",2008
10.1142/S0218127411028945,,CLOSED,International Journal of Bifurcation and Chaos in Applied Sciences and Engineering,2011
10.1109/EDUCON45650.2020.9125098,https://research.gold.ac.uk/id/eprint/28185/1/ieee%20educon%20sleuth.pdf,GREEN,IEEE Global Engineering Education Conference,2020
10.1109/VETECF.2011.6093018,,CLOSED,IEEE Vehicular Technology Conference,2011
10.1186/1743-422X-8-514,https://virologyj.biomedcentral.com/counter/pdf/10.1186/1743-422X-8-514,GOLD,Virology Journal,2011
10.3341/kjo.2009.23.3.193,http://synapse.koreamed.org/Synapse/Data/PDFData/0065KJO/kjo-23-193.pdf,GOLD,Korean Journal of Ophthalmology,2009
10.1001/jama.2016.17235,,CLOSED,Journal of the American Medical Association (JAMA),2016
10.1007/s00261-014-0110-4,,CLOSED,Abdominal Imaging,2014
10.1016/j.thromres.2016.09.001,,CLOSED,Thrombosis Research,2016
10.1016/j.apnr.2013.12.004,,CLOSED,Applied Nursing Research,2014
10.1016/j.rvsc.2010.03.005,,CLOSED,Research in Veterinary Science,2010
10.1007/s00402-009-0950-5,https://link.springer.com/content/pdf/10.1007%2Fs00402-009-0950-5.pdf,HYBRID,Archives of Orthopaedic and Trauma Surgery,2009
10.1016/j.yrtph.2009.07.008,,CLOSED,Regulatory toxicology and pharmacology : RTP,2010
10.1016/j.alcohol.2016.07.009,,CLOSED,Alcohol,2016
10.1186/1471-2318-13-135,https://bmcgeriatr.biomedcentral.com/counter/pdf/10.1186/1471-2318-13-135,GOLD,BMC Geriatrics,2013
10.1186/s12889-015-2382-1,https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-015-2382-1,GOLD,BMC Public Health,2015
10.1111/jog.14083,,CLOSED,The journal of obstetrics and gynaecology research,2019
10.1016/j.apmr.2015.03.007,,CLOSED,Archives of Physical Medicine and Rehabilitation,2015
10.1007/s10561-017-9637-2,https://link.springer.com/content/pdf/10.1007%2Fs10561-017-9637-2.pdf,HYBRID,Cell and Tissue Banking,2017
10.1016/j.wasman.2020.01.029,,CLOSED,Waste Management,2020
10.1017/S0963180120000109,https://pure.eur.nl/ws/files/50507807/and_what_about_the_pharmacist_on_the_position_of_the_provider_of_lethal_drugs_in_dutch_euthanasia_practice.pdf,GREEN,Cambridge Quarterly of Healthcare Ethics,2020
10.1021/ol2027366,,CLOSED,Organic Letters,2012
10.1002/bio.3169,,CLOSED,"Luminescence (Chichester, England Print)",2017
10.1007/s40615-020-00828-1,,CLOSED,Journal of Racial and Ethnic Health Disparities,2020
10.3390/brainsci8060099,,CLOSED,Brain Science,2018
10.1177/2045125314559539,https://europepmc.org/articles/pmc4521440?pdf=render,GREEN,Therapeutic Advances in Psychopharmacology,2015
10.1145/3313831.3376591,,CLOSED,International Conference on Human Factors in Computing Systems,2020
10.1007/s10653-018-0225-6,https://link.springer.com/content/pdf/10.1007/s10653-018-0225-6.pdf,BRONZE,Environmental Geochemistry and Health,2018
10.7151/dmgt.1818,,CLOSED,Discussiones Mathematicae Graph Theory,2012
10.7148/2018-0323,,CLOSED,European Conference on Modelling and Simulation,2018
10.2139/ssrn.3333334,,CLOSED,PLoS ONE,2019
10.1108/LHT-09-2018-0131,,CLOSED,Library hi tech,2019
10.1109/NGCAS.2017.32,,CLOSED,New Generation of CAS,2017
10.1145/3361525.3361546,https://hal.archives-ouvertes.fr/hal-02408184/file/p189-da_silva.pdf,GREEN,Proceedings of the 20th International Middleware Conference,2019
10.1145/3382025.3414965,,CLOSED,Software Product Lines Conference,2020
10.1155/2015/470818,https://downloads.hindawi.com/journals/cin/2015/470818.pdf,GOLD,Computational Intelligence and Neuroscience,2015
10.1111/pce.12857,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/pce.12857,HYBRID,"Plant, Cell and Environment",2017
10.1016/j.chemosphere.2013.02.048,,CLOSED,Chemosphere,2013
10.1089/dna.2020.5718,,CLOSED,DNA and Cell Biology,2020
10.1128/IAI.00436-09,https://europepmc.org/articles/pmc2738030?pdf=render,GREEN,Infection and Immunity,2009
10.1002/jmr.1061,,CLOSED,Journal of Molecular Recognition,2011
10.1002/iub.241,,CLOSED,IUBMB Life - A Journal of the International Union of Biochemistry and Molecular Biology,2009
10.1016/j.bbmt.2015.05.025,http://www.bbmt.org/article/S1083879115003869/pdf,HYBRID,Biology of Blood and Marrow Transplantation,2015
10.1111/j.1471-4159.2008.05694.x,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1471-4159.2008.05694.x,BRONZE,Journal of Neurochemistry,2008
10.1002/pros.24026,,CLOSED,The Prostate,2020
10.1007/s11302-012-9329-0,https://europepmc.org/articles/pmc3568427?pdf=render,GREEN,Purinergic Signalling Purinergic Signalling,2012
10.1007/s10863-011-9328-9,,CLOSED,Journal of Bioenergetics and Biomembranes,2011
10.1364/AO.48.000969,,CLOSED,Applied Optics,2009
10.1038/ncomms11279,https://www.nature.com/articles/ncomms11279.pdf,GOLD,Nature Communications,2015
10.1080/14767058.2019.1638356,,CLOSED,Journal of Maternal-Fetal & Neonatal Medicine,2019
10.1542/peds.2014-1382,,CLOSED,Pediatrics,2014
10.1002/hed.24758,,CLOSED,Head and Neck,2017
10.1097/HJH.0000000000000776,,CLOSED,Journal of Hypertension,2016
10.1016/j.cps.2014.03.008,,CLOSED,Clinics in Plastic Surgery,2014
10.1016/j.jemermed.2016.01.032,,CLOSED,Journal of Emergency Medicine,2016
10.1162/ajhe_a_00113,http://www.nber.org/papers/w23645.pdf,GREEN,American Journal of Health Economics,2017
10.1093/jnen/nly098,https://academic.oup.com/jnen/article-pdf/77/12/1085/26567901/nly098.pdf,HYBRID,Journal of Neuropathology and Experimental Neurology,2018
10.4038/cmj.v64i3.8949,http://cmj.sljol.info/articles/10.4038/cmj.v64i3.8949/galley/6557/download/,GOLD,Ceylon Medical Journal,2019
10.3390/ijms21176151,https://www.mdpi.com/1422-0067/21/17/6151/pdf?version=1598435570,GOLD,International Journal of Molecular Sciences,2020
10.1039/c6dt01176d,,CLOSED,Dalton Transactions,2016
10.1007/s11192-018-2662-5,,CLOSED,Scientometrics,2018
10.1016/j.bbr.2019.111971,,CLOSED,Behavioural Brain Research,2019
10.1109/CCA.2010.5611079,,CLOSED,International Conference on Computability and Complexity in Analysis,2010
10.1109/COASE.2019.8842902,,CLOSED,2019 IEEE 15th International Conference on Automation Science and Engineering (CASE),2019
10.1145/3099023.3099051,,CLOSED,"User Modeling, Adaptation, and Personalization",2017
10.1145/2095697.2095735,,CLOSED,Advances in Mobile Multimedia,2011
10.1016/j.intcom.2009.10.002,http://www.ics.uci.edu/~kobsa/papers/2010-IwC-kobsa.pdf,GREEN,Interacting with computers,2010
10.1145/2184751.2184854,,CLOSED,International Conference on Ubiquitous Information Management and Communication,2012
10.1007/978-3-642-15810-0_40,https://tkuir.lib.tku.edu.tw/dspace/bitstream/987654321/76814/1/Face+Detector+Design+for+an+Expression+Robot.pdf,GREEN,FIRA,2010
10.1145/3127479.3132571,,CLOSED,ACM Symposium on Cloud Computing,2017
10.1109/TAC.2017.2739644,http://arxiv.org/pdf/1504.07755,GREEN,IEEE Transactions on Automatic Control,2015
10.1007/s10544-009-9321-9,,CLOSED,Biomedical microdevices,2009
10.1111/j.1461-0248.2010.01467.x,,CLOSED,Ecology Letters,2010
10.1111/jfb.12197,,CLOSED,Journal of Fish Biology,2013
10.1007/s10661-019-7950-x,,CLOSED,Environmental Monitoring & Assessment,2020
10.1515/jcim-2015-0002,,CLOSED,Journal of Complementary and Integrative Medicine,2015
10.1016/j.biortech.2016.08.081,,CLOSED,Bioresource Technology,2016
10.12659/MSM.905992,https://europepmc.org/articles/pmc5567764?pdf=render,GREEN,Medical Science Monitor,2017
10.1158/2159-8290.CD-17-0603,https://europepmc.org/articles/pmc6296442?pdf=render,GREEN,Cancer Discovery,2018
10.1007/s10529-019-02670-w,,CLOSED,Biotechnology Letters,2019
10.3390/ijms21124462,https://www.mdpi.com/1422-0067/21/12/4462/pdf?version=1592913725,GOLD,International Journal of Molecular Sciences,2020
10.1139/bcb-2018-0236,,CLOSED,Biochemistry and cell biology = Biochimie et biologie cellulaire,2019
10.1016/j.bmcl.2018.05.025,,CLOSED,Bioorganic & Medicinal Chemistry Letters,2018
10.1371/journal.pone.0066519,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0066519&type=printable,GOLD,PLoS ONE,2013
10.1159/000113147,,CLOSED,Oncology,2008
10.1227/01.neu.0000489697.88290.88,,CLOSED,Neurosurgery,2016
10.1111/j.1525-1470.2011.01408.x,,CLOSED,Pediatric dermatology,2011
10.1097/01.NAJ.0000516253.46440.9f,,CLOSED,The American Journal of Nursing,2017
10.1111/j.1365-2591.2008.01474.x,,CLOSED,International Endodontic Journal,2009
10.21147/j.issn.1000-9604.2020.01.01,,CLOSED,Chinese journal of cancer research = Chung-kuo yen cheng yen chiu,2020
10.1200/jco.2016.34.7_suppl.258,,CLOSED,Journal of Clinical Oncology,2016
10.1177/1747493018785064,,CLOSED,International Journal of Stroke,2018
10.1111/j.1741-2358.2012.00640.x,,CLOSED,Gerodontology,2013
10.1016/j.apradiso.2009.02.090,,CLOSED,Applied Radiation and Isotopes,2009
10.1101/19003038,https://www.medrxiv.org/content/medrxiv/early/2019/08/26/19003038.full.pdf,GREEN,Epilepsy Research,2019
10.1016/j.brs.2015.10.004,https://europepmc.org/articles/pmc4789149?pdf=render,GREEN,Brain Stimulation,2016
10.1155/2008/108969,http://downloads.hindawi.com/journals/np/2008/108969.pdf,GOLD,Journal of Neural Transplantation and Plasticity,2008
10.1016/j.tics.2019.03.005,http://pure-oai.bham.ac.uk/ws/files/60999176/Apperly_2019_TiCS_spotlight_preprint.pdf,GREEN,Trends in Cognitive Sciences,2019
10.1109/TVT.2018.2855146,,CLOSED,IEEE Transactions on Vehicular Technology,2018
10.2134/jeq2014.06.0277,,CLOSED,Journal of Environmental Quality,2015
10.1109/ICASSP.2012.6289073,http://lxie.nwpu-aslp.org/papers/2012-ICASSP-ZhengLL-A3-Conf.pdf,GREEN,"IEEE International Conference on Acoustics, Speech, and Signal Processing",2012
10.1109/ITSC.2010.5625213,,CLOSED,13th International IEEE Conference on Intelligent Transportation Systems,2010
10.1109/SCC.2009.27,http://hal.archives-ouvertes.fr/docs/00/39/78/56/PDF/frascati.pdf,GREEN,IEEE International Conference on Services Computing,2009
10.5220/0005560104680471,https://hal.archives-ouvertes.fr/hal-01226219/file/icsoft_position_paper_listic_final.pdf,GREEN,International Conference on Software and Data Technologies,2015
10.1364/OE.16.006461,,CLOSED,Optics Express,2008
10.1007/s11263-020-01399-8,https://link.springer.com/content/pdf/10.1007/s11263-020-01399-8.pdf,HYBRID,International Journal of Computer Vision,2020
10.1103/PhysRevE.94.052608,http://arxiv.org/pdf/1605.01222,GREEN,Physical Review E,2016
10.11646/zootaxa.4142.1.1,,CLOSED,Zootaxa,2016
10.1128/mBio.00344-12,https://europepmc.org/articles/pmc3482500?pdf=render,GREEN,mBio,2012
10.1016/j.cmet.2018.02.008,http://www.cell.com/article/S1550413118301190/pdf,BRONZE,Cell Metabolism,2018
10.1038/leu.2017.83,,CLOSED,Leukemia,2017
10.1093/mutage/gey019,,CLOSED,Mutagenesis,2018
10.1093/nar/gkv054,https://academic.oup.com/nar/article-pdf/43/8/e51/17435599/gkv054.pdf,GOLD,Nucleic Acids Research,2015
10.1155/2014/843468,https://downloads.hindawi.com/archive/2014/843468.pdf,GOLD,Cholesterol,2014
10.1073/pnas.1202671109,https://www.pnas.org/content/pnas/109/33/13368.full.pdf,BRONZE,Proceedings of the National Academy of Sciences of the United States of America,2012
10.1016/j.bmcl.2012.05.027,,CLOSED,Bioorganic & Medicinal Chemistry Letters,2013
10.1021/jacs.5b07849,https://europepmc.org/articles/pmc5412961?pdf=render,GREEN,Journal of the American Chemical Society,2015
10.1159/000470899,,CLOSED,"Brain, Behavior and Evolution",2017
10.1016/j.gaitpost.2017.05.013,,CLOSED,Gait & Posture,2017
10.2147/RRU.S6571,https://www.dovepress.com/getfile.php?fileID=5756,GOLD,Open Access Journal of Urology,2010
10.1093/rheumatology/keaa451,,CLOSED,Rheumatology,2020
10.1186/s12887-018-1078-y,https://bmcpediatr.biomedcentral.com/track/pdf/10.1186/s12887-018-1078-y,GOLD,BMC Pediatrics,2018
10.1159/000499297,https://www.karger.com/Article/Pdf/499297,GOLD,Current Urology,2019
10.1136/bcr-2020-236255,,CLOSED,BMJ Case Reports,2020
10.1093/ecco-jcc/jjaa024,,CLOSED,Journal of Crohn's & Colitis,2020
10.1002/ajim.22741,https://www.duo.uio.no/bitstream/10852/61909/4/Submission_AJIM-17-0061-R2%281%29.pdf,GREEN,American Journal of Industrial Medicine,2017
10.1002/alr.21562,,CLOSED,International Forum of Allergy and Rhinology,2015
10.1039/c8sc03606c,https://pubs.rsc.org/en/content/articlepdf/2018/sc/c8sc03606c,GOLD,Chemical Science,2018
10.1021/JA307558X,https://digital.library.unt.edu/ark:/67531/metadc107792/m2/1/high_res_d/ja307558x.pdf,GREEN,Journal of the American Chemical Society,2012
10.7554/eLife.53060,,CLOSED,bioRxiv,2018
10.1177/0954406211417753,,CLOSED,,2011
10.18653/v1/K19-1007,https://www.aclweb.org/anthology/K19-1007.pdf,HYBRID,Conference on Computational Natural Language Learning,2019
10.31235/osf.io/7qd4t,http://arxiv.org/pdf/2004.07036,GREEN,arXiv.org,2020
10.1109/ICC.2009.5198826,http://www.freehaven.net/anonbib/cache/LCC_ICC09.pdf,GREEN,IEEE International Conference on Communications,2009
10.1145/3347709.3347783,https://dl.acm.org/doi/pdf/10.1145/3347709.3347783,BRONZE,Conference on User Services,2019
10.1109/ROMAN.2010.5598652,,CLOSED,19th International Symposium in Robot and Human Interactive Communication,2010
10.1111/jpy.12539,https://cdr.lib.unc.edu/downloads/6969zb12c,GREEN,Journal of Phycology,2017
10.1002/ece3.1617,,CLOSED,Ecology and Evolution,2015
10.1111/plb.12663,,CLOSED,Plant biology,2018
10.5604/01.3001.0011.6139,http://www.exeley.com/exeley/journals/polish_journal_of_microbiology/67/1/pdf/10.5604_01.3001.0011.6139.pdf,GOLD,Polish Journal of Microbiology,2018
10.1016/j.vaccine.2015.05.005,https://orbi.uliege.be/bitstream/2268/183897/1/Vandermeulen%20G%20et%20al..pdf,GREEN,Vaccine,2015
10.1016/j.molimm.2015.12.010,,CLOSED,Molecular Immunology,2016
10.1186/1471-2148-13-53,https://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/1471-2148-13-53,GOLD,BMC Evolutionary Biology,2013
10.1177/1535370216641786,https://europepmc.org/articles/pmc4994897?pdf=render,GREEN,Experimental biology and medicine,2016
10.3389/fimmu.2019.02274,https://www.frontiersin.org/articles/10.3389/fimmu.2019.02274/pdf,GOLD,Frontiers in Immunology,2019
10.3760/CMA.J.ISSN.1001-9391.2013.04.011,,CLOSED,Zhonghua lao dong wei sheng zhi ye bing za zhi = Zhonghua laodong weisheng zhiyebing zazhi = Chinese journal of industrial hygiene and occupational diseases,2013
10.1038/srep23692,https://www.nature.com/articles/srep23692.pdf,GOLD,Scientific Reports,2016
10.1016/j.tig.2018.09.006,https://europepmc.org/articles/pmc6251728?pdf=render,GREEN,Trends in Genetics,2018
10.1371/journal.pone.0034221,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0034221&type=printable,GOLD,PLoS ONE,2012
10.1038/s41467-020-19716-7,https://www.nature.com/articles/s41467-020-19716-7.pdf,GOLD,Nature Communications,2020
10.1016/j.bone.2018.02.030,https://findresearcher.sdu.dk/ws/files/137909280/Antibody_based_inhibition_of_circulating_DLK1_protects_from_estrogen_deficiency_induced_bone_loss_in_mice.pdf,GREEN,Bone,2018
10.1088/1361-6528/aa9a19,,CLOSED,Nanotechnology,2018
10.1055/s-0030-1250406,,CLOSED,Planta Medica,2011
10.1109/TIM.2013.2237997,,CLOSED,IEEE Transactions on Instrumentation and Measurement,2013
10.1002/hed.21580,,CLOSED,Head and Neck,2011
10.1016/j.ebiom.2016.02.034,http://www.ebiomedicine.com/article/S2352396416300731/pdf,GOLD,EBioMedicine,2016
10.1111/codi.15187,,CLOSED,Colorectal Disease,2020
10.1590/0004-282X20160078,http://www.scielo.br/pdf/anp/v74n9/0004-282X-anp-74-09-0745.pdf,GOLD,Arquivos de Neuro-Psiquiatria,2016
10.1080/17434440.2016.1254039,,CLOSED,Expert Review of Medical Devices,2016
10.1097/PRS.0b013e3182958a6d,,CLOSED,Plastic and Reconstructive Surgery,2013
10.1007/s00063-020-00678-z,,CLOSED,Medizinische Klinik - Intensivmedizin und Notfallmedizin,2020
10.1016/j.jstrokecerebrovasdis.2012.04.007,,CLOSED,Journal of Stroke & Cerebrovascular Diseases,2013
10.1503/cmaj.171142,https://www.cmaj.ca/content/cmaj/190/4/E93.full.pdf,GOLD,Canadian Medical Association Journal,2018
10.1007/s00787-019-01442-1,https://link.springer.com/content/pdf/10.1007/s00787-019-01442-1.pdf,HYBRID,European Child and Adolescent Psychiatry,2019
10.1073/pnas.1213170109,https://www.pnas.org/content/pnas/109/48/19828.full.pdf,BRONZE,Proceedings of the National Academy of Sciences of the United States of America,2012
10.1016/J.ENGAPPAI.2019.07.010,,CLOSED,Engineering applications of artificial intelligence,2019
10.1007/s11263-015-0845-6,https://link.springer.com/content/pdf/10.1007/s11263-015-0845-6.pdf,BRONZE,International Journal of Computer Vision,2015
10.1109/SRDS47363.2019.00043,https://leopard.tu-braunschweig.de/servlets/MCRFileNodeServlet/dbbs_derivate_00046812/ruesch-bloxy-srds19.pdf,GREEN,IEEE International Symposium on Reliable Distributed Systems,2019
10.1039/c3cp53939c,https://pubs.rsc.org/en/content/articlepdf/2014/cp/c3cp53939c,HYBRID,"Physical Chemistry, Chemical Physics - PCCP",2013
10.1007/s00203-019-01681-5,,CLOSED,Archives of Microbiology,2019
10.1007/s10068-018-0387-0,https://europepmc.org/articles/pmc6170288?pdf=render,GREEN,Food Science and Biotechnology,2018
10.1371/journal.pgen.1007439,https://journals.plos.org/plosgenetics/article/file?id=10.1371/journal.pgen.1007439&type=printable,GOLD,bioRxiv,2018
10.1016/j.theriogenology.2009.10.019,,CLOSED,Theriogenology,2010
10.3389/fmicb.2015.00697,https://www.frontiersin.org/articles/10.3389/fmicb.2015.00697/pdf,GOLD,Frontiers in Microbiology,2015
10.1093/eurheartj/ehaa842,https://scholarlypublications.universiteitleiden.nl/access/item%3A3502163/view,GREEN,European Heart Journal,2020
10.21769/bioprotoc.3475,https://bio-protocol.org/pdf/Bio-protocol3475.pdf,HYBRID,Bio-protocol,2020
10.1161/ATVBAHA.119.313779,https://www.ahajournals.org/doi/pdf/10.1161/ATVBAHA.119.313779,BRONZE,"Arteriosclerosis, Thrombosis and Vascular Biology",2020
10.1159/000491664,https://www.karger.com/Article/Pdf/491664,GOLD,Cellular Physiology and Biochemistry,2018
10.1016/j.ejphar.2018.01.021,,CLOSED,European Journal of Pharmacology,2018
10.1039/c3ob41805g,https://europepmc.org/articles/pmc4246059?pdf=render,GREEN,Organic and biomolecular chemistry,2013
10.2147/IJN.S52135,https://www.dovepress.com/getfile.php?fileID=17734,GOLD,International Journal of Nanomedicine,2013
10.22331/Q-2021-02-17-398,https://quantum-journal.org/papers/q-2021-02-17-398/pdf/,GOLD,Quantum,2020
10.1109/TIM.2013.2295658,,CLOSED,International Instrumentation and Measurement Technology Conference,2013
10.1002/ece3.620,,CLOSED,Ecology and Evolution,2013
10.1093/bja/aem374,http://bjanaesthesia.org/article/S0007091217345683/pdf,BRONZE,British Journal of Anaesthesia,2008
10.1007/s00280-012-1867-1,https://europepmc.org/articles/pmc4005329?pdf=render,GREEN,Cancer Chemotherapy and Pharmacology,2012
10.3109/14397595.2016.1140711,https://figshare.com/ndownloader/files/3772819,GREEN,Modern Rheumatology,2016
10.1001/jamainternmed.2020.2771,https://jamanetwork.com/journals/jamainternalmedicine/articlepdf/2770468/jamainternal_rome_2020_oi_200038_1599079521.53082.pdf,BRONZE,JAMA Internal Medicine,2020
10.2214/ajr.20.22888,,CLOSED,AJR. American journal of roentgenology,2020
10.1016/j.jcrs.2014.02.015,,CLOSED,Journal of cataract and refractive surgery,2014
10.1017/cjn.2016.446,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/EC249188F27A4D7CECF3B65689635F09/S0317167116004467a.pdf/div-class-title-facial-nerve-palsy-from-cerebral-venous-sinus-thrombosis-an-effect-of-increased-icp-div.pdf,HYBRID,Canadian Journal of Neurological Sciences / Journal Canadien des Sciences Neurologiques,2017
10.1080/10550880903436010,,CLOSED,Journal of Addictive  Diseases,2010
10.1021/acs.jpcb.7b07941,,CLOSED,Journal of Physical Chemistry B,2018
10.1007/s10198-019-01127-1,,CLOSED,European Journal of Health Economics,2019
10.1007/s00127-017-1375-z,,CLOSED,Social Psychiatry and Psychiatric Epidemiology,2017
10.1007/s40617-020-00426-x,https://link.springer.com/content/pdf/10.1007/s40617-020-00426-x.pdf,BRONZE,Behavior Analysis in Practice,2020
10.1037/pag0000430,,CLOSED,Psychology and Aging,2020
10.1016/j.ecoenv.2008.03.005,,CLOSED,Ecotoxicology and Environmental Safety,2009
10.1002/jgt.20436,,CLOSED,Journal of Graph Theory,2010
10.1007/978-3-642-38883-5_7,,CLOSED,International Conference on Model Transformation,2013
10.1007/978-3-030-01216-8_25,,CLOSED,European Conference on Computer Vision,2018
10.1049/iet-spr.2017.0108,,CLOSED,IET Signal Processing,2018
10.1109/ICRA.2015.7139462,,CLOSED,IEEE International Conference on Robotics and Automation,2015
10.1109/TIT.2011.2136230,http://arxiv.org/pdf/0912.4660,GREEN,IEEE Transactions on Information Theory,2009
10.1016/j.icrp.2012.07.002,,CLOSED,Annals of the ICRP,2012
10.1371/journal.pone.0183879,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0183879&type=printable,GOLD,PLoS ONE,2017
10.7717/peerj.10483,https://peerj.com/articles/10483.pdf,GOLD,PeerJ,2020
10.1016/j.ccell.2018.02.008,http://www.cell.com/article/S1535610818300618/pdf,BRONZE,Cancer Cell,2018
10.1128/microbiolspec.MCHD-0026-2015,https://www.asmscience.org/deliver/fulltext/microbiolspec/4/4/MCHD-0026-2015.pdf?itemId=/content/journal/microbiolspec/10.1128/microbiolspec.MCHD-0026-2015&mimeType=pdf&isFastTrackArticle=,BRONZE,Microbiology spectrum,2016
10.1016/j.jtherbio.2014.10.004,,CLOSED,Journal of Thermal Biology,2014
10.1186/1471-2105-14-197,,CLOSED,BMC Bioinformatics,2013
10.1371/journal.pone.0121854,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0121854&type=printable,GOLD,PLoS ONE,2015
10.1002/prot.22006,,CLOSED,"Proteins: Structure, Function, and Bioinformatics",2008
10.19746/j.cnki.issn.1009-2137.2020.04.047,,CLOSED,Zhongguo shi yan xue ye xue za zhi,2020
10.1016/j.bmcl.2009.11.122,,CLOSED,Bioorganic & Medicinal Chemistry Letters,2010
10.1109/TGRS.2019.2959702,,CLOSED,IEEE Transactions on Geoscience and Remote Sensing,2020
10.1007/s40291-020-00482-7,,CLOSED,Molecular Diagnosis & Therapy,2020
10.1161/CIRCIMAGING.115.004352,https://www.ahajournals.org/doi/pdf/10.1161/CIRCIMAGING.115.004352,BRONZE,Circulation Cardiovascular Imaging,2016
10.1517/14712598.2014.890587,,CLOSED,Expert Opinion on Biological Therapy,2014
10.1016/j.bbmt.2013.04.020,http://www.bbmt.org/article/S1083879113001882/pdf,HYBRID,Biology of Blood and Marrow Transplantation,2013
10.4187/respcare.01866,,CLOSED,Respiratory care,2013
10.1080/00016357.2018.1425899,,CLOSED,Acta Odontologica Scandinavica,2018
10.1177/0363546513494741,,CLOSED,American Journal of Sports Medicine,2013
10.2460/javma.244.10.1176,https://avmajournals.avma.org/downloadpdf/journals/javma/244/10/javma.244.10.1176.pdf,BRONZE,Journal of the American Veterinary Medical Association,2014
10.1016/S1474-4422(15)00189-1,http://www.thelancet.com/article/S1474442215001891/pdf,BRONZE,Lancet Neurology,2015
10.1007/s12013-017-0799-0,https://europepmc.org/articles/pmc5651211?pdf=render,GREEN,Cell Biochemistry and Biophysics,2017
10.1021/jacs.9b03867,,CLOSED,Journal of the American Chemical Society,2019
10.1089/pmr.2020.0033,https://www.liebertpub.com/doi/pdf/10.1089/pmr.2020.0033,GOLD,Palliative Medicine Reports,2020
10.1177/1471301218772178,https://ore.exeter.ac.uk/repository/bitstream/10871/39577/2/WP5d%20A%20qualitatitve%20analysis%20of%20trainer-coach%20experiences...FINAL%2006-10-17.pdf,GREEN,Dementia,2020
10.1109/APCCAS.2014.7032760,,CLOSED,Asia Pacific Conference on Circuits and Systems,2014
10.24963/ijcai.2019/122,https://www.ijcai.org/proceedings/2019/0122.pdf,BRONZE,International Joint Conference on Artificial Intelligence,2019
10.1109/ICWS.2014.69,,CLOSED,IEEE International Conference on Web Services,2014
10.1109/UV.2018.8642130,,CLOSED,International Conference on Universal Village,2018
10.1109/RCAR47638.2019.9043969,,CLOSED,International Conference on Real-time Computing and Robotics,2019
10.1109/ISBI45749.2020.9098317,,CLOSED,IEEE International Symposium on Biomedical Imaging,2019
10.1103/PHYSREVLETT.109.106101,https://pure.mpg.de/pubman/item/item_1569336_4/component/file_1569338/PhysRevLett.109.106101.pdf,GREEN,Physical Review Letters,2012
10.1186/1556-276X-8-376,https://nanoscalereslett.springeropen.com/track/pdf/10.1186/1556-276X-8-376,GOLD,Nanoscale Research Letters,2013
10.1016/j.ecoenv.2017.06.016,https://ri.conicet.gov.ar/bitstream/11336/63483/2/CONICET_Digital_Nro.0bb4fa47-00ac-495b-8f81-1858d0835d75_A.pdf,GREEN,Ecotoxicology and Environmental Safety,2017
10.1016/j.vetmic.2019.03.023,,CLOSED,Veterinary Microbiology,2019
10.1007/s00249-013-0907-z,https://link.springer.com/content/pdf/10.1007%2Fs00249-013-0907-z.pdf,HYBRID,European Biophysics Journal,2013
10.3109/21678421.2014.932381,,CLOSED,Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration,2014
10.7205/MILMED-D-13-00218,https://academic.oup.com/milmed/article-pdf/178/suppl_10/98/21146325/milmed-d-13-00218.pdf,BRONZE,Military Medicine,2013
10.1155/2017/3175748,http://downloads.hindawi.com/journals/sci/2017/3175748.pdf,GOLD,Stem Cells International,2017
10.1016/j.jana.2015.07.001,,CLOSED,Journal of the Association of Nurses in AIDS Care,2015
